video_id,title,language,channel_name,upload_date,views,likes,comments,category
5izqtGs1WV0,Level up to greatness! #GetRecognised in Digital Marketing with MICA x #upgrad,en,upGrad,2022-09-06T12:20:23Z,10338999,1933,26,Marketing in English
3uaF6sn4ZpQ,Intro to the Digital Garage,en,Digital Garage,2019-01-14T10:47:45Z,7336809,0,0,Marketing in English
n_W0RfKs_uI,Make great your fate with MICA x #upGrad | #GetRecognised in Digital Marketing,en,upGrad,2022-09-06T12:20:56Z,7216004,237,27,Marketing in English
bixR-KIJKYM,Digital Marketing In 5 Minutes | What Is Digital Marketing? | Learn Digital Marketing | Simplilearn,en,Simplilearn,2020-09-23T15:30:02Z,5375024,113683,4568,Marketing in English
nU-IIXBWlS4,Digital Marketing Course Part - 1 🔥| Digital Marketing Tutorial For Beginners | Simplilearn,en,Simplilearn,2020-03-16T05:30:01Z,3919073,89819,1639,Marketing in English
HZNk7hGV8SA,कम खर्चे में Digital Marketing कैसे करें ? | Dr Vivek Bindra,en,Dr. Vivek Bindra: Motivational Speaker,2019-01-15T10:30:15Z,3843471,201513,4165,Marketing in English
xsVTqzratPs,Complete SEO Course for Beginners: Learn to Rank #1 in Google,en,Ahrefs,2021-05-19T12:30:18Z,3130406,69356,2691,Marketing in English
RmwI_QqcPQc,How To Market Your Business On Social Media,en,Marley Jaxx,2021-04-20T14:30:03Z,2341585,77571,2248,Marketing in English
aUerDG2SNTA,how I would learn digital marketing (If I could start over),en,Senator We Run Ads,2022-09-30T16:02:36Z,1932601,89659,2153,Marketing in English
MYE6T_gd7H0,SEO In 5 Minutes | What Is SEO And How Does It Work | SEO Explained | SEO Tutorial | Simplilearn,en,Simplilearn,2020-12-23T13:39:48Z,1782267,39044,1300,Marketing in English
hiEb1m7CXH4,Digital Marketing Course in 7 Hours | Digital Marketing Tutorial for Beginners [2024] | Edureka,en,edureka!,2021-02-08T15:50:32Z,1234434,20890,128,Marketing in English
pm5TnwKD_a0,How To Learn Digital Marketing To Be An Expert | Digital Pratik | Josh Talks,en,Josh Talks,2019-12-21T13:00:14Z,1195292,50472,1163,Marketing in English
h95cQkEWBx0,Digital Marketing 101 (A Beginner’s Guide To Marketing),en,Adam Erhart,2021-01-18T14:00:10Z,1117025,30556,719,Marketing in English
nkNHn0VqVBA,Digital Marketing Full Course - 10 Hours [2024] | Digital Marketing Tutorial for Beginners | Edureka,en,edureka!,2023-01-06T17:50:54Z,1109488,14719,59,Marketing in English
wZZnxXyES80,Digital Marketing for Beginners: 7 Strategies That Work,en,Ahrefs,2019-05-22T14:30:06Z,1090039,25237,865,Marketing in English
4ajmfzj9G1g,"7 Effective Marketing Strategies for 2024 (TIPS, TRICKS & TACTICS)",en,Adam Erhart,2022-06-04T13:30:02Z,1084465,25061,652,Marketing in English
qQdXB8qSY-E,21 USEFUL Digital Marketing Tools To Grow Your Business,en,Aurelius Tjin,2021-10-20T11:00:26Z,1064179,51918,647,Marketing in English
